City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,74.08,light rain,-23.1203,-134.9692,People ThankYou
2,Airai,TL,72.54,scattered clouds,-8.9266,125.4092,Juvinal Martin
6,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Byron Bay,AU,75.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
14,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
15,Gemena,CD,69.44,overcast clouds,3.25,19.7667,Hôtel Goshen
16,Bonito,BR,78.4,overcast clouds,-21.1211,-56.4819,Marruá Hotel
18,Meulaboh,ID,77.45,broken clouds,4.1363,96.1285,Kost Pria
21,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
25,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
30,Ribeira Grande,PT,71.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
32,Saint-Philippe,RE,67.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Katherine,AU,79.12,clear sky,-14.4667,132.2667,Pine Tree Motel
37,Juba,SS,71.35,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
47,Poum,NC,71.76,few clouds,-20.2333,164.0167,Gîte kajeon
49,Arraial Do Cabo,BR,67.17,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Inverell,AU,69.12,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
58,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
64,Robertsport,LR,76.8,moderate rain,6.7533,-11.3686,Kwepunha Retreat
66,Puerto Ayora,EC,69.33,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Billings,US,78.57,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
75,Russell,US,69.08,clear sky,32.3502,-85.1999,Macs
76,Jamestown,US,70.07,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
80,Vila Franca Do Campo,PT,66.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
82,Yuzhno-Kurilsk,RU,65.05,overcast clouds,44.0306,145.8556,Guesthouse Berloga
