City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,2021-09-23 01:13:28,-53.15,-70.9167,41.11,70,0,17.27,clear sky
1,Rikitea,PF,2021-09-23 01:15:53,-23.1203,-134.9692,74.08,74,0,19.84,light rain
2,Airai,TL,2021-09-23 01:15:53,-8.9266,125.4092,72.54,33,44,5.01,scattered clouds
3,Castro,BR,2021-09-23 01:15:53,-24.7911,-50.0119,48.06,89,95,9.57,overcast clouds
4,Bredasdorp,ZA,2021-09-23 01:15:55,-34.5322,20.0403,58.28,93,0,5.75,clear sky
5,Green Valley,US,2021-09-23 01:15:55,31.8543,-110.9937,92.14,29,100,8.75,overcast clouds
6,Vaini,TO,2021-09-23 01:15:55,-21.2,-175.2,78.96,89,40,10.36,scattered clouds
7,Byron Bay,AU,2021-09-23 01:11:34,-28.65,153.6167,75.06,45,0,5.28,clear sky
8,Busselton,AU,2021-09-23 01:15:56,-33.65,115.3333,62.1,75,0,12.24,clear sky
9,Hobart,AU,2021-09-23 01:15:56,-42.8794,147.3294,62.46,63,75,3.0,broken clouds
10,Hermanus,ZA,2021-09-23 01:15:56,-34.4187,19.2345,58.8,55,6,6.13,clear sky
11,Barrow,US,2021-09-23 01:15:57,71.2906,-156.7887,32.02,69,90,16.11,overcast clouds
12,Lebu,CL,2021-09-23 01:15:57,-37.6167,-73.65,48.83,82,79,4.52,broken clouds
13,Smithers,CA,2021-09-23 01:11:51,54.7804,-127.1743,52.39,53,99,7.31,overcast clouds
14,Carnarvon,AU,2021-09-23 01:15:58,-24.8667,113.6333,71.67,73,58,11.5,broken clouds
15,Gemena,CD,2021-09-23 01:15:58,3.25,19.7667,69.44,99,100,2.55,overcast clouds
16,Bonito,BR,2021-09-23 01:15:59,-21.1211,-56.4819,78.4,44,100,3.4,overcast clouds
17,Qostanay,KZ,2021-09-23 01:15:59,53.1667,63.5833,30.49,93,40,4.47,scattered clouds
18,Meulaboh,ID,2021-09-23 01:10:29,4.1363,96.1285,77.45,85,80,3.67,broken clouds
19,Olafsvik,IS,2021-09-23 01:15:59,64.8945,-23.7142,42.13,61,6,3.56,clear sky
20,Khatanga,RU,2021-09-23 01:16:00,71.9667,102.5,34.93,99,100,4.16,overcast clouds
21,Avarua,CK,2021-09-23 01:16:00,-21.2078,-159.775,75.25,60,20,9.22,few clouds
22,Bluff,NZ,2021-09-23 01:16:00,-46.6,168.3333,57.79,73,79,8.97,broken clouds
23,Ushuaia,AR,2021-09-23 01:13:53,-54.8,-68.3,38.86,87,20,0.0,light rain
24,Upernavik,GL,2021-09-23 01:12:28,72.7868,-56.1549,21.99,85,99,5.06,overcast clouds
25,Atuona,PF,2021-09-23 01:16:01,-9.8,-139.0333,78.12,72,0,17.98,clear sky
26,Lorengau,PG,2021-09-23 01:12:56,-2.0226,147.2712,82.54,77,82,10.69,broken clouds
27,Puyang,CN,2021-09-23 01:16:02,29.4603,119.8861,81.41,68,5,2.24,clear sky
28,Kapaa,US,2021-09-23 01:16:02,22.0752,-159.319,84.18,71,20,5.01,few clouds
29,Port Elizabeth,ZA,2021-09-23 01:16:02,-33.918,25.5701,59.29,88,0,9.22,clear sky
30,Ribeira Grande,PT,2021-09-23 01:16:03,38.5167,-28.7,71.4,76,13,14.09,few clouds
31,New Norfolk,AU,2021-09-23 01:16:03,-42.7826,147.0587,62.1,60,100,4.0,overcast clouds
32,Saint-Philippe,RE,2021-09-23 01:16:04,-21.3585,55.7679,67.55,85,71,10.29,light rain
33,Polonne,UA,2021-09-23 01:16:04,50.1242,27.5109,41.68,94,100,8.88,overcast clouds
34,Narsaq,GL,2021-09-23 01:16:04,60.9167,-46.05,39.42,89,100,3.27,light rain
35,Katherine,AU,2021-09-23 01:16:05,-14.4667,132.2667,79.12,9,0,16.11,clear sky
36,Hasaki,JP,2021-09-23 01:16:05,35.7333,140.8333,84.6,73,7,7.9,clear sky
37,Juba,SS,2021-09-23 01:16:05,4.8517,31.5825,71.35,82,22,3.0,few clouds
38,Thompson,CA,2021-09-23 01:15:05,55.7435,-97.8558,56.07,61,100,3.09,overcast clouds
39,Klaksvik,FO,2021-09-23 01:16:06,62.2266,-6.589,45.52,75,100,22.26,overcast clouds
40,Lavrentiya,RU,2021-09-23 01:16:06,65.5833,-171.0,34.45,54,79,3.24,broken clouds
41,Esperance,AU,2021-09-23 01:16:07,-33.8667,121.9,62.06,72,8,8.5,clear sky
42,Saskylakh,RU,2021-09-23 01:16:07,71.9167,114.0833,34.86,99,100,3.74,light rain
43,Codrington,AU,2021-09-23 01:16:07,-38.2667,141.9667,62.49,55,0,16.08,clear sky
44,Namibe,AO,2021-09-23 01:06:14,-15.1961,12.1522,62.15,90,13,4.25,few clouds
45,Namatanai,PG,2021-09-23 01:16:08,-3.6667,152.4333,83.41,72,81,6.08,light rain
46,Evensk,RU,2021-09-23 01:16:08,61.95,159.2333,48.49,73,92,0.81,overcast clouds
47,Poum,NC,2021-09-23 01:16:09,-20.2333,164.0167,71.76,63,13,23.11,few clouds
48,Albany,US,2021-09-23 01:14:46,42.6001,-73.9662,73.67,82,54,11.43,broken clouds
49,Arraial Do Cabo,BR,2021-09-23 01:11:12,-22.9661,-42.0278,67.17,59,84,12.53,broken clouds
50,Kargasok,RU,2021-09-23 01:16:09,59.0556,80.8572,33.15,90,100,6.46,overcast clouds
51,Ust-Karsk,RU,2021-09-23 01:16:10,52.7011,118.8077,54.19,93,100,3.8,overcast clouds
52,Tommot,RU,2021-09-23 01:16:10,58.9564,126.2925,46.0,87,100,3.91,overcast clouds
53,Butaritari,KI,2021-09-23 01:16:10,3.0707,172.7902,83.01,66,98,12.77,overcast clouds
54,Inverell,AU,2021-09-23 01:16:11,-29.7833,151.1167,69.12,43,0,4.0,clear sky
55,Cabo San Lucas,MX,2021-09-23 01:16:11,22.8909,-109.9124,88.52,72,40,10.36,scattered clouds
56,Kincardine,GB,2021-09-23 01:16:12,56.0667,-3.7167,56.55,92,100,16.69,overcast clouds
57,Mataura,NZ,2021-09-23 01:16:12,-46.1927,168.8643,57.47,40,100,4.25,overcast clouds
58,Mahebourg,MU,2021-09-23 01:16:13,-20.4081,57.7,70.09,78,75,10.36,broken clouds
59,Palafrugell,ES,2021-09-23 01:16:13,41.9174,3.1631,63.72,94,3,3.0,clear sky
60,Saint George,US,2021-09-23 01:16:13,37.1041,-113.5841,93.67,12,1,1.01,clear sky
61,Nanortalik,GL,2021-09-23 01:16:14,60.1432,-45.2371,43.2,99,100,8.63,light rain
62,Bambous Virieux,MU,2021-09-23 01:16:14,-20.3428,57.7575,70.05,78,75,10.36,broken clouds
63,Tori,EE,2021-09-23 01:16:14,58.4825,24.8152,37.67,94,60,2.55,broken clouds
64,Robertsport,LR,2021-09-23 01:16:15,6.7533,-11.3686,76.8,89,100,3.0,moderate rain
65,Ancud,CL,2021-09-23 01:16:15,-41.8697,-73.8203,50.43,85,99,15.19,overcast clouds
66,Puerto Ayora,EC,2021-09-23 01:16:15,-0.7393,-90.3518,69.33,89,81,9.28,broken clouds
67,Billings,US,2021-09-23 01:13:09,45.7833,-108.5007,78.57,21,40,10.36,scattered clouds
68,Hamilton,US,2021-09-23 01:15:45,39.1834,-84.5333,56.03,94,90,5.01,mist
69,Port Alfred,ZA,2021-09-23 01:16:16,-33.5906,26.891,60.55,77,100,16.8,overcast clouds
70,Coquimbo,CL,2021-09-23 01:16:16,-29.9533,-71.3436,55.13,66,0,3.44,clear sky
71,Sitka,US,2021-09-23 01:14:29,57.0531,-135.33,51.69,58,90,8.05,overcast clouds
72,Broager,DK,2021-09-23 01:16:17,54.8874,9.681,60.49,83,75,9.22,broken clouds
73,Tuktoyaktuk,CA,2021-09-23 01:16:17,69.4541,-133.0374,35.6,75,90,11.5,overcast clouds
74,Omsukchan,RU,2021-09-23 01:16:17,62.5333,155.8,45.91,62,87,3.74,overcast clouds
75,Russell,US,2021-09-23 01:16:18,32.3502,-85.1999,69.08,82,1,5.75,clear sky
76,Jamestown,US,2021-09-23 01:16:18,42.097,-79.2353,70.07,98,90,7.0,light rain
77,Geilo,NO,2021-09-23 01:16:19,60.5333,8.2076,46.71,92,93,7.02,overcast clouds
78,Touros,BR,2021-09-23 01:16:19,-5.1989,-35.4608,79.7,83,11,9.44,few clouds
79,Ketchikan,US,2021-09-23 01:16:20,55.3422,-131.6461,54.07,71,75,8.05,light rain
80,Vila Franca Do Campo,PT,2021-09-23 01:16:20,37.7167,-25.4333,66.61,75,58,7.58,broken clouds
81,Sarangani,PH,2021-09-23 01:16:20,5.4033,125.4636,82.17,71,49,4.16,scattered clouds
82,Yuzhno-Kurilsk,RU,2021-09-23 01:16:21,44.0306,145.8556,65.05,92,100,6.87,overcast clouds
83,Ponta Do Sol,PT,2021-09-23 01:16:21,32.6667,-17.1,70.72,65,100,4.56,overcast clouds
84,Faya,SA,2021-09-23 01:16:21,18.3851,42.4509,63.12,33,8,1.25,clear sky
85,Antofagasta,CL,2021-09-23 01:07:17,-23.65,-70.4,56.48,74,23,7.94,few clouds
86,Fortuna,US,2021-09-23 01:16:22,40.5982,-124.1573,81.48,59,13,3.0,few clouds
87,Riverton,US,2021-09-23 01:16:22,40.5219,-111.9391,76.15,30,1,1.99,clear sky
88,Komsomolskiy,UZ,2021-09-23 01:16:22,40.4272,71.7189,58.42,51,0,4.61,clear sky
89,Geraldton,AU,2021-09-23 01:11:23,-28.7667,114.6,68.41,40,0,11.5,clear sky
90,Lompoc,US,2021-09-23 01:16:23,34.6391,-120.4579,80.74,83,75,13.8,broken clouds
91,Umm Lajj,SA,2021-09-23 01:16:23,25.0213,37.2685,83.19,68,1,6.4,clear sky
92,Grand Gaube,MU,2021-09-23 01:16:24,-20.0064,57.6608,70.2,77,3,5.01,clear sky
93,Atambua,ID,2021-09-23 01:16:24,-9.1061,124.8925,83.89,40,46,4.63,scattered clouds
94,Yulara,AU,2021-09-23 01:16:24,-25.2406,130.9889,66.04,20,7,14.97,clear sky
