City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-09-21 16:08:48,19.7297,-155.09,75.27,84,74,3.4
1,Albany,US,2021-09-21 16:13:22,42.6001,-73.9662,72.03,68,100,1.01
2,Gat,IL,2021-09-21 16:13:22,31.61,34.7642,84.4,100,0,11.36
3,Belmopan,BZ,2021-09-21 16:08:41,17.25,-88.7667,87.3,79,100,5.23
4,Kajaani,FI,2021-09-21 16:13:22,64.2273,27.7285,39.11,76,24,5.79
5,Rikitea,PF,2021-09-21 16:13:23,-23.1203,-134.9692,73.67,71,0,14.76
6,Besancon,FR,2021-09-21 16:13:23,47.2488,6.0182,69.53,15,2,9.1
7,Muros,ES,2021-09-21 16:13:23,42.7762,-9.0603,78.24,54,1,14.27
8,Kaitangata,NZ,2021-09-21 16:13:24,-46.2817,169.8464,39.34,90,12,7.0
9,Port Elizabeth,ZA,2021-09-21 16:13:24,-33.918,25.5701,59.09,71,98,6.89
10,Batticaloa,LK,2021-09-21 16:13:24,7.7102,81.6924,83.91,74,40,4.27
11,Ambilobe,MG,2021-09-21 16:13:25,-13.2,49.05,75.4,64,0,4.83
12,Zlobin,HR,2021-09-21 16:13:25,45.2924,14.6541,60.39,55,1,10.71
13,Kodiak,US,2021-09-21 16:13:26,57.79,-152.4072,40.78,53,0,22.62
14,Mata Grande,BR,2021-09-21 16:13:26,-9.1175,-37.7322,89.71,27,58,5.5
15,Lorengau,PG,2021-09-21 16:13:26,-2.0226,147.2712,80.71,79,99,4.88
16,Wanning,CN,2021-09-21 16:13:27,18.8003,110.3967,80.42,86,51,3.27
17,Gebze,TR,2021-09-21 16:13:27,40.8028,29.4307,67.06,76,100,13.11
18,Qaanaaq,GL,2021-09-21 16:13:27,77.484,-69.3632,13.62,71,62,9.71
19,Ushuaia,AR,2021-09-21 16:13:28,-54.8,-68.3,49.66,76,75,14.97
20,Marovoay,MG,2021-09-21 16:13:28,-16.1,46.6333,83.07,44,53,5.86
21,New Norfolk,AU,2021-09-21 16:13:28,-42.7826,147.0587,53.1,71,100,1.99
22,Leshukonskoye,RU,2021-09-21 16:13:29,64.8989,45.7622,37.33,84,88,3.18
23,Norman Wells,CA,2021-09-21 16:13:29,65.282,-126.8329,42.71,83,100,9.44
24,Yarmouth,US,2021-09-21 16:13:29,41.7057,-70.2286,74.34,77,57,1.99
25,Luganville,VU,2021-09-21 16:11:07,-15.5333,167.1667,75.04,80,19,2.95
26,Tiksi,RU,2021-09-21 16:13:30,71.6872,128.8694,32.43,72,100,5.39
27,Cermik,TR,2021-09-21 16:13:30,38.1361,39.4493,79.68,24,1,3.71
28,Barrow,US,2021-09-21 16:11:07,71.2906,-156.7887,28.42,92,100,19.82
29,Tiznit,MA,2021-09-21 16:13:30,29.5833,-9.5,71.83,62,16,11.45
30,Atuona,PF,2021-09-21 16:13:31,-9.8,-139.0333,77.2,78,18,20.87
31,Mataura,NZ,2021-09-21 16:13:31,-46.1927,168.8643,45.48,98,35,2.08
32,Nago,JP,2021-09-21 16:13:31,26.5881,127.9761,79.81,82,0,4.59
33,Avarua,CK,2021-09-21 16:13:32,-21.2078,-159.775,75.29,75,100,2.57
34,Yellowknife,CA,2021-09-21 16:10:53,62.456,-114.3525,43.84,81,100,16.33
35,Norsup,VU,2021-09-21 16:13:32,-16.0667,167.3833,76.28,78,44,8.41
36,Pevek,RU,2021-09-21 16:13:33,69.7008,170.3133,26.2,90,98,5.37
37,Port Alfred,ZA,2021-09-21 16:13:33,-33.5906,26.891,60.22,66,98,7.25
38,Severo-Kurilsk,RU,2021-09-21 16:13:33,50.6789,156.125,48.58,86,56,15.14
39,Bom Jesus,BR,2021-09-21 16:13:34,-9.0744,-44.3586,103.48,14,54,7.61
40,Kloulklubed,PW,2021-09-21 16:13:34,7.0419,134.2556,82.85,76,84,6.89
41,Tessalit,ML,2021-09-21 16:13:34,20.1986,1.0114,105.46,5,1,6.71
42,Cape Town,ZA,2021-09-21 16:11:39,-33.9258,18.4232,64.11,69,1,5.99
43,Nanortalik,GL,2021-09-21 16:13:35,60.1432,-45.2371,37.71,71,96,20.33
44,Bluff,NZ,2021-09-21 16:13:35,-46.6,168.3333,44.8,76,40,15.79
45,Kieta,PG,2021-09-21 16:13:35,-6.2167,155.6333,77.52,85,100,4.16
46,Vaini,TO,2021-09-21 16:13:36,-21.2,-175.2,72.59,72,56,17.52
47,Redcar,GB,2021-09-21 16:13:36,54.6166,-1.06,72.21,34,95,9.44
48,Nantucket,US,2021-09-21 16:13:36,41.2835,-70.0995,74.08,85,94,8.68
49,Bengkulu,ID,2021-09-21 16:13:37,-3.8004,102.2655,76.3,89,97,4.25
50,Portland,US,2021-09-21 16:13:19,45.5234,-122.6762,65.77,75,0,1.01
51,Longyearbyen,SJ,2021-09-21 16:13:37,78.2186,15.6401,40.84,100,75,4.61
52,Hasaki,JP,2021-09-21 16:13:37,35.7333,140.8333,73.44,87,72,2.59
53,Yar-Sale,RU,2021-09-21 16:13:38,66.8333,70.8333,36.52,82,100,11.07
54,Saskylakh,RU,2021-09-21 16:13:38,71.9167,114.0833,33.44,92,100,6.08
55,Victoria,HK,2021-09-21 16:09:04,22.2855,114.1577,85.32,84,51,7.25
56,Esperance,AU,2021-09-21 16:13:39,-33.8667,121.9,56.52,41,0,16.31
57,Jamestown,US,2021-09-21 16:13:39,42.097,-79.2353,72.3,70,100,8.01
58,Geraldton,AU,2021-09-21 16:13:39,-28.7667,114.6,66.72,32,0,8.84
59,Sibolga,ID,2021-09-21 16:13:40,1.7427,98.7792,76.35,86,19,2.82
60,Castro,BR,2021-09-21 16:13:40,-24.7911,-50.0119,89.44,26,2,6.35
61,Coihaique,CL,2021-09-21 16:13:40,-45.5752,-72.0662,48.31,76,0,8.05
62,Narsaq,GL,2021-09-21 16:13:41,60.9167,-46.05,39.52,37,99,3.44
63,Arraial Do Cabo,BR,2021-09-21 16:13:41,-22.9661,-42.0278,75.78,74,0,1.86
64,Slave Lake,CA,2021-09-21 16:13:41,55.2834,-114.769,57.18,55,100,4.43
65,Georgetown,MY,2021-09-21 16:11:01,5.4112,100.3354,80.89,84,98,5.64
66,Hobart,AU,2021-09-21 16:13:42,-42.8794,147.3294,53.46,76,98,5.01
67,Xambioa,BR,2021-09-21 16:13:42,-6.4111,-48.5364,104.34,21,38,4.81
68,Kapaa,US,2021-09-21 16:13:42,22.0752,-159.319,71.47,98,16,13.38
69,Myitkyina,MM,2021-09-21 16:13:43,25.3833,97.4,74.14,98,100,0.72
70,Butaritari,KI,2021-09-21 16:13:43,3.0707,172.7902,82.62,70,92,16.75
71,Port Hardy,CA,2021-09-21 16:13:43,50.6996,-127.4199,53.96,92,100,11.3
72,Isangel,VU,2021-09-21 16:13:44,-19.55,169.2667,71.06,79,33,4.72
73,Brylivka,UA,2021-09-21 16:13:44,46.4248,33.1472,54.68,46,97,13.78
74,Ananas,HT,2021-09-21 16:13:44,19.2466,-71.9557,88.14,48,9,7.36
75,Waingapu,ID,2021-09-21 16:13:45,-9.6567,120.2641,78.55,79,95,9.1
76,Asau,RO,2021-09-21 16:13:45,46.4333,26.4,55.76,62,50,3.83
77,Sao Miguel,BR,2021-09-21 16:13:45,-5.4667,-35.3667,86.65,51,52,16.55
78,Kishanpur,IN,2021-09-21 16:13:46,25.65,81.0167,84.67,72,70,6.8
79,Yuli,NG,2021-09-21 16:13:46,9.6989,10.2744,84.92,67,40,7.83
80,Angoche,MZ,2021-09-21 16:13:46,-16.2325,39.9086,75.9,73,3,13.13
81,Verkhnevilyuysk,RU,2021-09-21 16:13:47,63.4453,120.3167,37.04,84,97,6.55
82,Puerto Maldonado,PE,2021-09-21 16:13:47,-12.6,-69.1833,90.0,58,0,5.75
83,Punta Arenas,CL,2021-09-21 16:12:04,-53.15,-70.9167,57.31,58,0,20.71
84,Batken,KG,2021-09-21 16:13:47,39.8333,71.0,53.98,32,0,1.32
85,Dunedin,NZ,2021-09-21 16:13:48,-45.8742,170.5036,44.8,71,8,1.99
86,Dholka,IN,2021-09-21 16:13:48,22.7167,72.4667,81.75,82,77,8.5
